atm_id,temperature,network_errors,dispenser_errors,cpu_usage,transaction_failures,failure_status
ATM1,88,19,12,44,10,1
ATM2,57,28,4,53,2,0
ATM3,71,20,1,59,5,0
ATM4,51,27,4,62,11,0
ATM5,71,28,11,78,9,0
ATM6,77,27,14,91,14,1
ATM7,93,22,3,93,24,1
ATM8,52,4,2,36,20,0
ATM9,58,6,1,33,24,0
ATM10,63,17,9,38,20,1
ATM11,51,19,11,89,6,0
ATM12,93,28,7,76,2,1
ATM13,63,16,3,79,7,0
ATM14,53,1,13,35,21,1
ATM15,91,3,5,92,17,0
ATM16,75,11,1,91,3,0
ATM17,63,15,14,91,7,0
ATM18,70,15,12,82,23,1
ATM19,75,24,11,89,12,1
ATM20,90,28,14,74,0,1
ATM21,74,6,8,30,11,0
ATM22,57,23,14,40,18,1
ATM23,66,7,2,64,0,0
ATM24,54,9,6,70,6,0
ATM25,58,7,11,63,0,0
ATM26,97,22,6,91,23,1
ATM27,86,2,11,64,0,0
ATM28,84,4,14,32,0,0
ATM29,54,25,6,43,6,0
ATM30,76,8,14,44,9,0
ATM31,62,18,14,81,3,0
ATM32,79,4,6,44,10,0
ATM33,78,3,12,61,6,0
ATM34,71,27,1,71,12,0
ATM35,55,27,11,73,19,1
ATM36,79,29,10,91,0,0
ATM37,50,24,10,91,24,1
ATM38,62,8,2,99,7,0
ATM39,76,8,13,66,0,0
ATM40,91,11,7,88,21,0
ATM41,81,23,8,81,16,0
ATM42,98,25,3,41,6,1
ATM43,51,2,0,85,16,0
ATM44,98,1,1,83,22,0
ATM45,86,0,0,48,1,0
ATM46,93,25,5,61,22,1
ATM47,53,22,10,85,16,1
ATM48,87,23,4,99,21,1
ATM49,60,15,0,88,5,0
ATM50,65,28,2,49,3,0
ATM51,68,25,2,48,19,0
ATM52,81,6,3,62,7,0
ATM53,88,17,7,30,10,1
ATM54,77,24,8,79,22,0
ATM55,80,29,9,36,15,1
ATM56,75,15,8,89,16,0
ATM57,51,0,13,41,4,0
ATM58,86,26,6,38,8,1
ATM59,84,18,2,49,23,0
ATM60,82,23,3,65,5,0
ATM61,89,19,13,54,17,1
ATM62,95,17,1,83,2,1
ATM63,65,28,8,62,3,0
ATM64,82,13,4,77,19,0
ATM65,57,6,2,46,0,0
ATM66,97,11,10,51,13,1
ATM67,79,5,5,80,21,0
ATM68,57,26,10,50,0,0
ATM69,77,14,0,98,15,0
ATM70,68,3,2,93,16,0
ATM71,66,11,11,59,13,1
ATM72,55,2,11,66,23,1
ATM73,78,16,13,82,2,0
ATM74,82,19,14,61,22,1
ATM75,82,2,1,54,9,0
ATM76,80,21,9,96,7,0
ATM77,95,23,1,61,14,1
ATM78,71,22,1,56,9,0
ATM79,51,25,0,62,8,0
